Codigo,Descripcion,Familia,Stock
/10,,,0
/29,CARGO,,0
/5,,,0
/50,ABONO,,0
/57,ABONO,,0
070FP00,PAVO 18 PLUS 15 KG.,ALIMENTO - CABALLOS,12
09070910,VIRUTA CABALLO 18 K.apr ECONOMI,CABALLOS ACCESORIOS,165
12040000,CARTOLA SUM SUM,DAPAC PREMIUM SUMUM,0
120DOG24990,"DOG SUM SUM LIGHT-MATURE 3,5 KG.",DAPAC PREMIUM SUMUM,119
120DOG8539,"DOG SUM SUM FISH 3,5 KG (10,90)",DAPAC PREMIUM SUMUM,82
121DAT22SZ1A,ZEN POUCHES SALMON 12x100 GR.,DAPAC SUPER PREMIUM ZEN,4
122DAC56ST5B,"LOW ZEN CAT STERILI 1,5 KG(15,90",DAPAC SUPER PREMIUM LOW CAT,45
122DAC84SS1B,"LOW ZEN CAT SALMON STE 1,5K(16,9",DAPAC SUPER PREMIUM LOW CAT,11
122DAJ00PN08,"LOW ZEN MINI PUPPY 8 KG.(40,90",DAPAC SUPER PREMIUM LOW ZEN,13
123DAL32AM03C,"FRESH MINI MEDITERRA 3K ""14,90",DAPAC PREMIUM FRESH,102
125DAG18VE18,DAPAC HURONES 18 KG.,DAPAC ECONOMICOS VISAN,3
126252582-TIENDA,CAT ONE BUEY LATA 400 1 ud,DAPAC HUMEDO LATAS-SALCHICHA,10
126252605-TIENDA,CAT ONE ATUN/VERDUR LATA 400 1ud,DAPAC HUMEDO LATAS-SALCHICHA,-3
12912371094,FELIX PARTY MIXED GRILL 60G,NESTLE,10
900055,SACO AVENA APLASTADA 20 Kg aprox,CEREAL,41
A1810011009,BOZAL CESTA PLASTI.N§.10 NEGRO,ARPPE,4
A2258030793,CORREA NYLON REDONDO 16x75 NEGR,ARPPE,4
DOG0283,CAMA PINCEL NEGRO 45 CM.,PERIS TEXTIL,11
DOG0298,COLCHON COMPACTO PINCEL MOSTA 80,PERIS TEXTIL,10
FOP25930070,"& COMEDERO ENJOY N§.3 0,60 L",ACCESORIOS DAPAC,12
FOP25940070,"& COMEDERO ENJOY N§.4 1,30 L",ACCESORIOS DAPAC,0
FOP40149011,& BANDEJA ROEDOR ESQUINA 35x26,ACCESORIOS DAPAC,12
HENO02,SHAMBI HENO MANZANILLA 500+200g,ROEDOR,97
HENO03,SHAMBI HENO ESCARAMUJO 500+200GR,ROEDOR,126
M47001464, FELINE RENAL C/OXALATO 100 G,MONGE,2
M47008100,CANINE DERMATOSIS 2KG z/d,MONGE,9
M47008128,CANINE DIABETIC 12KG,MONGE,3
M47008200,CANINE GASTROINTEST.400 GR(i/d),MONGE,8
MC08400110, COLLAR NYLON TIGRE BLCO T-XS,ARTICULOS VP,5
PRASANA5LT,Enc. AQUASANA 5L (anti cloro,PECES,0
PRBB50,ENC BABY 15 GR. E/P,PECES,0
PRBM250,BIOGRAN MEDIUM 120 GR(agua dulce,PECES,35
PRVEN22,VENTOSA SUCCION ( 2 Udes.),PECES,12
REP19786,ESCOBA JARDIN 22 DIENTES PLASTIC,JARDINERIA - SEMILLAS,2
REP24584,PULVERIZADOR DE MOCHILA 16 LTS.,JARDINERIA - SEMILLAS,1
S0006,PLANTAS HUERTO  a     3 Euros,JARDINERIA - SEMILLAS,26
S014712,PIMIENTO LARGO DE REUS,JARDINERIA - SEMILLAS,3
S020551G250,JUDIA CONTENDER 250 GR.,JARDINERIA - SEMILLAS,2
S095911,PENSAMIENTO HIBRIDO FELINE AZ/BL,JARDINERIA - SEMILLAS,12
S710542,FERTILIZANTE GUANO (sobre 5 L),JARDINERIA - SEMILLAS,3
S730045,FUNGICIDA COBRE (sobre para 5 L),JARDINERIA - SEMILLAS,1
SA020400WG,BANDEJA ASEO ALTA C/MARCO GRIS,,7
T1-50518,ABONO CONIFERAS 1 KG.,JARDINERIA - SEMILLAS,2
V011802NE5XL,ABRIGO NEOPRENO NEG/RO T-5XL,ARTICULOS VP,2
V011802NEL,ABRIGO NEOPRENO NEG/RO T-L 41 CM,ARTICULOS VP,0
V011802R3XL,ABRIGO NEOPRENO ROJ/NE T-3XL 56C,ARTICULOS VP,2
V01VAD50218,NIDO EXOTICOS 11x1 CM.,NOBBY,32
V01VAD60469,*** JUGUETE DENTAL PELOTA 6cm,NOBBY,5
V01VAD60902,FUNDA PROTECTORA MALETERO 173x15,NOBBY,7
V01VAD69910,*** GALLETAS DUO SALMON 400 GR.,NOBBY,1
V01VAD73007,COLLAR CADENA LIMADA 50 cm. 3 mm,NOBBY,9
V01VAD73164-63,ARNES CLASSIC NYLON CORAL T-XXS,NOBBY,16
V01VAD73166-63,ARNES CLASSIC NYLON CORAL T-S-M,NOBBY,21
V01VAD74701-64,*** COLLAR CLASS NYLON FRAM XS-S,NOBBY,4
V01VAD78509-23,*** COLLAR SUAVE AGARRE MARRO,NOBBY,1
V01VAD78511-06,COLLAR SUAVE AGARRE AZUL T-S-M,NOBBY,18
V01VAD80523-06,COLLAR NEOPRENO CLASSIC M-L AZUL,NOBBY,23
V01VAD80534-01,ARNES NEOPRENO CLASSIC T-XL ROJO,NOBBY,12
V01VAD80627-04,ARNES MESH REFLEC. NARANJA T-L,NOBBY,16
V01VAD80662-06,*** CORREA NEOPRENO MINI AZUL,NOBBY,1
V01VAD88768,*** COLLAR GATO CIRCULO PURPURA,NOBBY,7
V01VAD88772,*** COLLAR GATO CIRCULO AZUL,NOBBY,1
V01Y1811-AM-S,IMPERMEABLE C/ARNES AMARILLO T-S,ARTICULOS VP,2
V02251417-TIENDA,CALES VACACIONE 1 BLOQUE,PECES,3
